"Team","year","team","Payroll","tenmilplayers","W.L.","MarketSize","playersto50","adjServiceTime","payrollMil","adjServiceTimeSq","playersto50sq","payrollsq","tenmilplayerssq","Playoffs"
"Kansas City Royals",2012,"KCA",62402800,0,0.444,"Small",5,3.43139534883721,62.4028,11.7744740400216,25,3894.10944784,0,0
"Kansas City Royals",2013,"KCA",86727425,2,0.531,"Small",5,4.92162790697674,86.727425,24.2224212547322,25,7521.64624713062,4,0
"Kansas City Royals",2014,"KCA",98118250,2,0.549,"Small",6,5.80697674418605,98.11825,33.7209789075176,36,9627.1909830625,4,1
"Kansas City Royals",2015,"KCA",131865000,2,0.586,"Small",7,6.34488372093023,131.865,40.2575494321254,49,17388.378225,4,1
"Kansas City Royals",2016,"KCA",130105925,1,0.5,"Small",8,6.12627906976744,130.105925,37.5312952406706,64,16927.5517201056,1,0
"Kansas City Royals",2017,"KCA",153026667,5,0.494,"Small",7,6.52674418604651,153.026667,42.5983896700919,49,23417.1608131289,25,0
"Kansas City Royals",2018,"KCA",109324217,3,0.358,"Small",4,5.10697674418605,109.324217,26.0812114656571,16,11951.7844226631,9,0
"Kansas City Royals",2019,"KCA",85039291,3,0.364,"Small",3,3.99046511627907,85.039291,15.9238118442401,9,7231.68101378268,9,0
"Los Angeles Angels",2012,"ANA",166613857,8,0.549,"Large",5,6.63279069767442,166.613857,43.9939124391563,25,27760.1773444164,64,0
"Los Angeles Angels",2013,"ANA",123788750,4,0.481,"Large",5,4.61372093023256,123.78875,21.286420822066,25,15323.6546265625,16,0
"Los Angeles Angels",2014,"ANA",143170000,4,0.605,"Large",4,6.58162790697674,143.17,43.317825905895,16,20497.6489,16,1
"Los Angeles Angels",2015,"ANA",152625748,4,0.525,"Large",5,5.95162790697674,152.625748,35.4218747431043,25,23294.6189525595,16,0
"Los Angeles Angels",2016,"ANA",128257833,4,0.457,"Large",4,4.89860465116279,128.257833,23.9963275283937,16,16450.0717258559,16,0
"Los Angeles Angels",2017,"ANA",179433333,5,0.494,"Large",5,6.80720930232558,179.433333,46.3380984856679,25,32196.3209914889,25,0
"Los Angeles Angels",2018,"ANA",172553299,6,0.494,"Large",4,5.96953488372093,172.553299,35.635346727961,16,29774.6409957834,36,0
"Los Angeles Angels",2019,"ANA",154405433,7,0.444,"Large",5,5.49139534883721,154.405433,30.1554228772309,25,23841.0377399175,49,0
"Los Angeles Dodgers",2012,"LAN",177949143,7,0.531,"Large",7,8.27325581395349,177.949143,68.4467617631152,49,31665.8974944344,49,0
"Los Angeles Dodgers",2013,"LAN",253753572,12,0.568,"Large",7,7.68279069767442,253.753572,59.0252729042726,49,64390.8753027592,144,1
"Los Angeles Dodgers",2014,"LAN",222583334,9,0.58,"Large",6,7.2,222.583334,51.84,36,49543.3405745556,81,1
"Los Angeles Dodgers",2015,"LAN",239240001,9,0.568,"Large",6,7.32093023255814,239.240001,53.5960194699838,36,57235.77807848,81,1
"Los Angeles Dodgers",2016,"LAN",236715001,9,0.562,"Large",6,6.99953488372093,236.715001,48.9934885884262,36,56033.99169843,81,1
"Los Angeles Dodgers",2017,"LAN",205186191,9,0.642,"Large",5,6.33860465116279,205.186191,40.1779089237425,25,42101.3729770885,81,1
"Los Angeles Dodgers",2018,"LAN",196750713,6,0.564,"Large",5,6.3453488372093,196.750713,40.2634518658734,25,38710.8430660084,36,1
